Stanowisko; Miejsce pracy; Rodzaj umowy; Pracodawca; Dostępna od; 
"Operator koparko-ładowarki"; "87-300 Brodnica, powiat: brodnicki, woj: kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "Elektroenergetyka ""BALSAM"" Kazimierz Balsam"; 20.12.2021; 
"Pracownik ogólnobudowlany"; "87-300 Brodnica, powiat: brodnicki, woj: kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "Elektroenergetyka ""BALSAM"" Kazimierz Balsam"; 20.12.2021; 
"Kierowca kat. C"; "87-300 Brodnica, powiat: brodnicki, woj: kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "Elektroenergetyka ""BALSAM"" Kazimierz Balsam"; 20.12.2021; 
"Elektryk"; "87-300 Brodnica, powiat: brodnicki, woj: kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "Elektroenergetyka ""BALSAM"" Kazimierz Balsam"; 20.12.2021; 
"Pracownik ogólnobudowlany"; "87-300 Brodnica, powiat: brodnicki, woj: kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "Zakład Ogólnobudowlany Usługi i Handel ""BUD-DOM"" Janusz Drzeszyński"; 20.12.2021; 
"Pomoc stolarza"; "A. MICKIEWICZA 5, 19-200 Grajewo, powiat: grajewski, woj: podlaskie"; "Umowa o pracę na czas określony"; "PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE ""RAJ"" RADZIO WŁADYSŁAW I EWA"; 20.12.2021; 
"Sprzedawca"; "A. MICKIEWICZA 5, 19-200 Grajewo, powiat: grajewski, woj: podlaskie"; "Umowa o pracę na czas określony"; "PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE ""RAJ"" RADZIO WŁADYSŁAW I EWA"; 20.12.2021; 
"Technik handlowiec"; "A. MICKIEWICZA 5, 19-200 Grajewo, powiat: grajewski, woj: podlaskie"; "Umowa o pracę na czas określony"; "PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE ""RAJ"" RADZIO WŁADYSŁAW I EWA"; 20.12.2021; 
"Nauczyciel geografii"; "76-150 Dobiesław 3a, powiat: sławieński, woj: zachodniopomorskie"; "Umowa o pracę na czas określony"; "Społeczna Szkoła Podstawowa w Dobiesławiu"; 20.12.2021; 
"Nauczyciel biologii"; "76-150 Dobiesław 3a, powiat: sławieński, woj: zachodniopomorskie"; "Umowa o pracę na czas określony"; "Społeczna Szkoła Podstawowa w Dobiesławiu"; 20.12.2021; 
"Pracownik terenu zewnętrznego"; "BOHDANA DOBRZAŃSKIEGO 7, 20-262 Lublin, powiat: m. Lublin, woj: lubelskie"; "Umowa o pracę na okres próbny"; "JOKEM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 20.12.2021; 
"Kierownik działu finansowgo"; "63-940 Golinka 26A, powiat: rawicki, woj: wielkopolskie"; "Umowa o pracę na czas określony"; "Impilo sp. z o.o."; 20.12.2021; 
"Referent do spraw rachunkowości "; "Gubin, powiat: krośnieński, woj: lubuskie"; "Nie dotyczy"; "kontakt przez PUP"; 16.12.2021; 
"OPERATOR STOPNIA PIĘTRZĄCEGO-KONSERWATOR BUDOWLI WODNYCH"; "45-006 Opole, powiat: m. Opole, woj: opolskie"; "Umowa o pracę na okres próbny"; "Państwowe Gospodarstwo Wodne Wody Polskie"; 20.12.2021; 
"OPERATOR STOPNIA PIĘTRZĄCEGO-KONSERWATOR BUDOWLI WODNYCH"; "45-006 Opole, powiat: m. Opole, woj: opolskie"; "Umowa o pracę na okres próbny"; "Państwowe Gospodarstwo Wodne Wody Polskie"; 20.12.2021; 
"PRACOWNIK BIUROWY "; "NOWE OSIEDLE 13D, 47-240 Bierawa, powiat: kędzierzyńsko-kozielski, woj: opolskie"; "Umowa o pracę na okres próbny"; "BRITOP LIGHTING SP. Z O.O."; 20.12.2021; 
"Kierowca-magazynier"; "Sandomierska 243, 27-440 Ćmielów, powiat: ostrowiecki, woj: świętokrzyskie"; "Umowa o pracę na okres próbny"; "TRANSMAR Mariusz Sendrowicz"; 20.12.2021; 
"Pracownik produkcyjny/ operator automatu zbrojarskiego"; "Strzelców Bytomskich 127, 41-914 Bytom, powiat: m. Bytom, woj: śląskie"; "Umowa o pracę na okres próbny"; "Milimex Spółka Akcyjna"; 20.12.2021; 
"Suwnicowy"; "41-914 Bytom, powiat: m. Bytom, woj: śląskie"; "Umowa o pracę na okres próbny"; "Milimex Spółka Akcyjna"; 20.12.2021; 
"pracownik magazynowy"; "Aleksandrów Łódzki, powiat: zgierski, woj: łódzkie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 20.12.2021; 
"Listonosz"; "Łęczycka 19, 95-100 Zgierz, powiat: zgierski, woj: łódzkie"; "Umowa o pracę na okres próbny"; "Poczta Polska S.A"; 20.12.2021; 
"Fizjoterapeuta"; "95-015 Wola Zbrożkowa 36, powiat: zgierski, woj: łódzkie"; "Umowa o pracę na czas określony"; "Stowarzyszenie Centrum Wspierania Inicjatyw"; 20.12.2021; 
"sprzątaczka"; "95-035 Leśmierz 17, powiat: zgierski, woj: łódzkie"; "Umowa o pracę na okres próbny"; "Szkoła Podstawowa im. Stanisława Jachowicza w Leśmierzu"; 20.12.2021; 
"SERWISANT SIECI TELEKOMUNIKACYJNYCH (394 j)"; "Jesiotrowa 1, 05-420 Józefów, powiat: otwocki, woj: mazowieckie"; "Umowa o pracę na czas nieokreślony"; "Cezary Książek"; 17.12.2021; 
"Kierowca kat. B"; "82-100 Solnica 46, powiat: nowodworski, woj: pomorskie"; "Umowa o pracę na czas określony"; "JANINA MICHALSKA USŁUGI ZIEMNE I BUDOWLANE"; 20.12.2021; 
"Kierowca ładowacz"; "Wólczyńska 249, 01-934 Warszawa, powiat: m.st. Warszawa, woj: mazowieckie"; "Umowa o pracę na czas określony"; """BYŚ"" Wojciech Byśkiniewicz"; 17.12.2021; 
"Specjalista ds zamówień publicznych"; "Aleje Jerozolimskie 97, 00-909 Warszawa, powiat: m.st. Warszawa, woj: mazowieckie"; "Umowa o pracę w zastępstwie"; "Stołeczny Zarząd Infrastruktury"; 17.12.2021; 
"Dozorca"; "Szaserów 117, 04-349 Warszawa, powiat: m.st. Warszawa, woj: mazowieckie"; "Umowa o pracę na czas określony"; "SZKOŁA PODSTAWOWA NR 141 IM. MJR HENRYKA SUCHARSKIEGO"; 17.12.2021; 
"Rejestrator/ka medyczny/a "; "Marszałkowska 111a/5, 00-102 Warszawa, powiat: m.st. Warszawa, woj: mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Evomed Sp. zo.o."; 17.12.2021; 
"Technik"; "Nowolipie 2, 00-150 Warszawa, powiat: m.st. Warszawa, woj: mazowieckie"; "Umowa o pracę na czas określony"; "Komenda Stołeczna Policji"; 17.12.2021; 
"Koordynator Zespołu Obsługi Partnera Biznesowego/Team Lead, Merchant Operations"; "02-017 Warszawa, powiat: m.st. Warszawa, woj: mazowieckie"; "Umowa o pracę na czas określony"; "GROUPON SHARED SERVICES POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 17.12.2021; 
"Starszy inspektor ds. inwestycyjno-budowlanych"; "Niekłańska 4/24, 03-924 Warszawa, powiat: m.st. Warszawa, woj: mazowieckie"; "Umowa o pracę na okres próbny"; "SZPITAL DZIECIĘCY IM.PROF.DR.MED.JANA BOGDANOWICZA SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ"; 17.12.2021; 
"Pielęgniarka"; "18-400 Łomża, powiat: m. Łomża, woj: podlaskie"; "Umowa o pracę na czas określony"; "Zakład Podstawowej Opieki Zdrowotnej"; 20.12.2021; 
"KASJER-SPRZEDAWCA"; "PODWALE 25, 58-500 Jelenia Góra, powiat: m. Jelenia Góra, woj: dolnośląskie"; "Umowa o pracę na okres próbny"; "FLORIT SP. Z O.O. ( INTERMARCHE)"; 20.12.2021; 
"Malarz/szpachlarz z doświadczeniem"; "Józefa Wybickiego 20, 83-400 Kościerzyna, powiat: kościerski, woj: pomorskie"; "Umowa o pracę na czas nieokreślony"; "SEBASTIAN SYNAK ZAKŁAD REMONTOWO-BUDOWLANY Sebastian Synak"; 20.12.2021; 
"Operator myjni"; "NARUTOWICZA 239, 97-500 Radomsko, powiat: radomszczański, woj: łódzkie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO USŁUGOWO HANDLOWE UNICAR Sp. J. WŁODZIMIERZ I DOROTA JAGUŚCIK ZAKŁAD PRACY CHRONIONEJ"; 20.12.2021; 
"Wulkanizator taśm przenośnikowych"; "WYZWOLENIA 34, 97-561 Ładzice, powiat: radomszczański, woj: łódzkie"; "Umowa o pracę na okres próbny"; "MAŁGORZATA PŁOCHOCKA 1.SIGMA 2.GALERIA NOWOSOLNA S.C."; 20.12.2021; 
"spawacz/ślusarz"; "Ceglana, 87-400 Golub-Dobrzyń, powiat: golubsko-dobrzyński, woj: kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "STALNOX Wiktor Dąbrowski"; 20.12.2021; 
"Fryzjer damsko-męski (O)"; "Fałata 10, 33-100 Tarnów, powiat: m. Tarnów, woj: małopolskie"; "Umowa o pracę na okres próbny"; "Monika Biały Salon Fryzjerski Damsko-Męski"; 17.12.2021; 
"Elektryk"; "1 Maja 29-37, 32-340 Wolbrom, powiat: olkuski, woj: małopolskie"; "Umowa o pracę na czas określony"; "ZAKŁADY MECHANICZNO-KUŹNICZE ""WOSTAL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 20.12.2021; 
"Kasjer/sprzedawca"; "Główna 69a, 32-329 Bolesław, powiat: olkuski, woj: małopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "GOLDEN SERWIS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 20.12.2021; 
"pracownik obsługi lady mięsnej"; "Główna 69a, 32-329 Bolesław, powiat: olkuski, woj: małopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "GOLDEN SERWIS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 20.12.2021; 
"Salowa"; "Jana Pawła II 68, 95-200 Pabianice, powiat: pabianicki, woj: łódzkie"; "Umowa o pracę na czas określony"; "NAPRZÓD HOSPITAL SP. Z. O. O"; 20.12.2021; 
"Hydraulik/monter c.o."; "Wichowo 13, 87-600 Lipno, powiat: lipnowski, woj: kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "Nowa- Art Marcin Nowak"; 20.12.2021; 
"sprzątaczka"; "Łódzka 26, 95-041 Gałków Mały, powiat: łódzki wschodni, woj: łódzkie"; "Umowa o pracę na czas określony"; "ECO-PLAN S.A."; 20.12.2021; 
"Specjalista do spraw sprzedaży i marketingu"; "Sandomierska 6, 37-300 Leżajsk, powiat: leżajski, woj: podkarpackie"; "Umowa o pracę na czas określony"; "PREBYTES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA"; 20.12.2021; 
"Informatyk / Helpdesk"; "Sandomierska 6, 37-300 Leżajsk, powiat: leżajski, woj: podkarpackie"; "Umowa o pracę na czas określony"; "PREBYTES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA"; 20.12.2021; 
"Elektronik / Informatyk / Programista"; "Sandomierska 6, 37-300 Leżajsk, powiat: leżajski, woj: podkarpackie"; "Umowa o pracę na czas określony"; "PREBYTES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA"; 20.12.2021; 
"Ślusarz / Spawacz"; "37-300 Stare Miasto 150, powiat: leżajski, woj: podkarpackie"; "Umowa o pracę na czas określony"; "PROGRES-STAL Sp. z o.o."; 20.12.2021; 
"Psycholog"; "Miła 26, 77-100 Bytów, powiat: bytowski, woj: pomorskie"; "Umowa o pracę na czas określony"; "Powiatowe Centrum Pomocy Rodzinie w Bytowie"; 20.12.2021; 
"Pracownik produkcji"; "Jelcz-Laskowice, powiat: oławski, woj: dolnośląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 20.12.2021; 
"Księgowy"; "Trakt Lubelski 153, 04-766 Warszawa, powiat: m.st. Warszawa, woj: mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Profithome Kancelaria Podatkowo-Rachunkowa Wioleta Gawryszewska"; 20.12.2021; 
"Operator nastawiacz maszyn"; "Miłosławska 13a, 62-322 Orzechowo, powiat: wrzesiński, woj: wielkopolskie"; "Umowa o pracę na czas określony"; "TARKETT POLSKA SP. ZO.O."; 20.12.2021; 
"spawacz TIG"; "Niska 1A, 63-400 Ostrów Wielkopolski, powiat: ostrowski, woj: wielkopolskie"; "Umowa o pracę na czas nieokreślony"; "ENVIMAC Polska Spółka z ograniczoną odpowiedzialnością"; 20.12.2021; 
"Specjalista do spraw kadr i płac"; "Tadeusza Kościuszki 3, 64-000 Kościan, powiat: kościański, woj: wielkopolskie"; "Umowa o pracę na czas określony"; "I Liceum Ogólnokształcące im. Oskara Kolberga w Kościanie"; 20.12.2021; 
"Mechanik pojazdów samochodowych (O)"; "38-340 Korczyna 107A, powiat: gorlicki, woj: małopolskie"; "Umowa o pracę na okres próbny"; "FUH MMKD- Garage Marek Wiśniowski"; 20.12.2021; 
"blacharz samochodowy (O)"; "Zakładowa 14, 33-180 Gromnik, powiat: tarnowski, woj: małopolskie"; "Umowa o pracę na okres próbny"; "FUH MMKD- Garage Marek Wiśniowski"; 20.12.2021; 
"Mechanik pojazdów samochodowych (O)"; "38-340 Korczyna 107A, powiat: gorlicki, woj: małopolskie"; "Umowa o pracę na okres próbny"; "FUH MMKD- Garage Marek Wiśniowski"; 20.12.2021; 
"Nauczyciel psycholog"; "Bolesława Chrobrego 2, 57-530 Międzylesie, powiat: kłodzki, woj: dolnośląskie"; "Umowa o pracę na czas określony"; "Samorządowa Szkoła Podstawowa w Międzylesiu"; 20.12.2021; 
"Kasjer- sprzedawca"; "Kościelna 15, 57-330 Szczytna, powiat: kłodzki, woj: dolnośląskie"; "Umowa o pracę na okres próbny"; "DINO POLSKA S A"; 17.12.2021; 
"PRACOWNIK BIUROWY"; "57-530 Jodłów 6/7, powiat: kłodzki, woj: dolnośląskie"; "Umowa o pracę na czas nieokreślony"; "OŚRODEK OPIEKUNCZO REHABILITACYJNY DLA OSÓB STARSZYCH I OSÓB Z CHOROBĄ ALZHEIMERA"; 20.12.2021; 
"Pracownik produkcji palet"; "Łaziska Górne, powiat: mikołowski, woj: śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 16.12.2021; 
"Konserwator- pracownik gospodarczy z uprawnieniami elektrycznymi"; "Waryńskiego 2, 43-190 Mikołów, powiat: mikołowski, woj: śląskie"; "Umowa o pracę na okres próbny"; "CENTRUM ZDROWIA W MIKOŁOWIE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 20.12.2021; 
"Mechanik samochodów ciężarowych"; "Przemysłowa 6A, 64-200 Wolsztyn, powiat: wolsztyński, woj: wielkopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "PRZEDSIEBIORSTWO USŁUGOWO-TRANSPORTOWE AUTO-TRANSPORT ŁUCZAK SPÓŁKA JAWNA"; 20.12.2021; 
"Specjalista ds. sprzedaży mebli"; "Grunwaldzka 22C, 14-260 Lubawa, powiat: iławski, woj: warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "LIBRO MAREK LIBERACKI"; 20.12.2021; 
"Konserwator zabytków"; "Lubawa, powiat: iławski, woj: warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; 20.12.2021; 
"Sprzedawca/doradca klienta (nr 5642)"; "Grudziądzka 3/119, 85-130 Bydgoszcz, powiat: m. Bydgoszcz, woj: kujawsko-pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "SPL COMPANY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 20.12.2021; 
"Staż - Sprzedawca"; "Chorzów, powiat: m. Chorzów, woj: śląskie"; "Nie dotyczy"; "kontakt przez PUP"; 09.12.2021; 
"Staż - Referent ds. księgowych"; "Chorzów, powiat: jarosławski, woj: podkarpackie"; "Nie dotyczy"; "kontakt przez PUP"; 13.12.2021; 
"Brukarz/pracownik drogowy "; "63-820 Strzelce Wielkie 81C, powiat: gostyński, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "PUB BRUKPOL SC Adam i Piotr Kluczyk"; 20.12.2021; 
"Kierowca kat. C"; "63-820 Strzelce Wielkie 81C, powiat: gostyński, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "PUB BRUKPOL SC Adam i Piotr Kluczyk"; 20.12.2021; 
"Kierowca kat. C+E"; "63-820 Strzelce Wielkie 81C, powiat: gostyński, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "PUB BRUKPOL SC Adam i Piotr Kluczyk"; 20.12.2021; 
"Operator koparko-ładowarki"; "63-820 Strzelce Wielkie 81C, powiat: gostyński, woj: wielkopolskie"; "Umowa o pracę na czas określony"; "PUB BRUKPOL SC Adam i Piotr Kluczyk"; 20.12.2021; 
"Informatyk"; "Opolska 12, 47-300 Krapkowice, powiat: krapkowicki, woj: opolskie"; "Umowa o pracę na czas nieokreślony"; "Bank Spółdzielczy w Krapkowicach"; 20.12.2021; 
"Sprzedawca"; "Opolska 63, 47-300 Krapkowice, powiat: krapkowicki, woj: opolskie"; "Umowa o pracę na czas określony"; "PIEKARNIA STASZOWSCY SPÓŁKA CYWILNA ZYGMUNT I IRENA STASZOWSCY"; 20.12.2021; 
"Pracownik fizyczny do krojenia pieczywa"; "Krapkowicka 10, 47-300 Żywocice, powiat: krapkowicki, woj: opolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "PIEKARNIA STASZOWSCY SPÓŁKA CYWILNA ZYGMUNT I IRENA STASZOWSCY"; 20.12.2021; 
"Operator wibroprasy i operator urządzenia paletyzującego"; "Ligonia 5, 47-300 Steblów, powiat: krapkowicki, woj: opolskie"; "Umowa o pracę na czas określony"; """DWOKAD"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 20.12.2021; 
"Pracownik przygotowujący drewno"; "Sosnowica, powiat: parczewski, woj: lubelskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 20.12.2021; 
"PRACOWNIK TRANSPORTOWY - 1138"; "Wolności 4, 58-140 Jaworzyna Śląska, powiat: świdnicki, woj: dolnośląskie"; "Umowa o pracę na okres próbny"; "ZAKŁADY PORCELANY STOŁOWEJ KAROLINA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 20.12.2021; 
"Pozostali operatorzy urządzeń pakujących, znakujących i urządzeń do napełniania butelek"; "Brzeg Dolny, powiat: wołowski, woj: dolnośląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 20.12.2021; 
"Pracownik myjni"; "Sierpc, powiat: sierpecki, woj: mazowieckie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 20.12.2021; 
"Geolog / asystent specjalisty ds. badań terenowych / pomocnik wiertacza"; "POWĄZKOWSKA 44C, 01-797 Warszawa, powiat: m.st. Warszawa, woj: mazowieckie"; "Umowa o pracę na okres próbny"; "REMEA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 20.12.2021; 
"Sprzedawca  stacji paliw"; "Leszno, powiat: m. Leszno, woj: wielkopolskie"; "Umowa o pracę w zastępstwie"; "kontakt przez PUP"; 20.12.2021; 
"pracownik fizyczny"; "16-002 Krynice 88, powiat: białostocki, woj: podlaskie"; "Umowa o pracę na czas nieokreślony"; "P.T.TELŁĄCZ JERZY MARKIEWICZ"; 20.12.2021; 
"pomocnik do elewacji"; "15-346 Białystok, powiat: m. Białystok, woj: podlaskie"; "Umowa o pracę na czas nieokreślony"; "BAMAR USŁUGI OGÓLNOBUDOWELANE MAREK BAWERNA"; 20.12.2021; 
"fachowiec do elewacji"; "15-346 Białystok, powiat: m. Białystok, woj: podlaskie"; "Umowa o pracę na czas nieokreślony"; "BAMAR USŁUGI OGÓLNOBUDOWELANE MAREK BAWERNA"; 20.12.2021; 
"Magazynier"; "Gdynia, powiat: m. Gdynia, woj: pomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 20.12.2021; 
"Asystentka stomatologiczna"; "Gdynia, powiat: m. Gdynia, woj: pomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 20.12.2021; 
"Robotnik gospodarczy"; "Gdynia, powiat: m. Gdynia, woj: pomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 13.12.2021; 
"sprzedawca"; "MORSKA 82, 81-228 Gdynia, powiat: m. Gdynia, woj: pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Konkol sp. z o.o."; 20.12.2021; 
"specjalista ds obsługi klienta"; "Nowdworcowa 11/1, 81-581 Gdynia, powiat: m. Gdynia, woj: pomorskie"; "Umowa o pracę na czas nieokreślony"; "Przedsiębiorstwo Handlowe VINC Andrzej Jurkiewicz"; 20.12.2021; 
"Mechanik"; "Gdynia, powiat: m. Gdynia, woj: pomorskie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; 20.12.2021; 
"Asystent geodety"; "Aleksandrów Kujawski, powiat: aleksandrowski, woj: kujawsko-pomorskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 20.12.2021; 
"Kaletnik"; "Letnia 2, 62-100 Wągrowiec, powiat: wągrowiecki, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "TIGER SWISS Sp. z o.o."; 20.12.2021; 
"Listonosz z samochodem"; "Rokicińska 428, 92-601 Łódź, powiat: m. Łódź, woj: łódzkie"; "Umowa o pracę na okres próbny"; "Poczta Polska S.A."; 20.12.2021; 
"Listonosz pieszy"; "Tuwima 38, 90-001 Łódź, powiat: m. Łódź, woj: łódzkie"; "Umowa o pracę na okres próbny"; "Poczta Polska S.A."; 20.12.2021; 
"Ankieter"; "Suwalska 29, 93-176 Łódź, powiat: m. Łódź, woj: łódzkie"; "Umowa o pracę na okres próbny"; "URZĄD STATYSTYCZNY W ŁODZI"; 20.12.2021; 
"Opiekun medyczny"; "Przybyszewskiego 255/267, 92-338 Łódź, powiat: m. Łódź, woj: łódzkie"; "Umowa o pracę na czas określony"; "Centrum Rehabilitacyjno-Opiekuńcze DPS w Łodzi"; 20.12.2021; 
"specjalista w Wydziale ds. Konserwacji i Awarii"; "al. Tadeusza Kościuszki 47, 90-514 Łódź, powiat: m. Łódź, woj: łódzkie"; "Umowa o pracę na czas określony"; "Zarząd Lokali Miejskich"; 20.12.2021; 
"Kasjer- sprzedawca"; "Tomaszowska, 93-231 Łódź, powiat: m. Łódź, woj: łódzkie"; "Umowa o pracę na okres próbny"; """DINO POLSKA"" SPÓŁKA AKCYJNA"; 20.12.2021; 
"Kasjer- sprzedawca"; "Radwańska, 90-452 Łódź, powiat: m. Łódź, woj: łódzkie"; "Umowa o pracę na okres próbny"; """DINO POLSKA"" SPÓŁKA AKCYJNA"; 20.12.2021; 
"Kasjer- sprzedawca"; "Aleksandrowska, 91-201 Łódź, powiat: m. Łódź, woj: łódzkie"; "Umowa o pracę na okres próbny"; """DINO POLSKA"" SPÓŁKA AKCYJNA"; 20.12.2021; 
"Kierowca C+E"; "Przemysłowa 2A, 39-300 Mielec, powiat: mielecki, woj: podkarpackie"; "Umowa o pracę na okres próbny"; "Diana Małgorzata Buczek-Cebula"; 20.12.2021; 
"Mechanik samochodów ciężarowych"; "Przemysłowa 2A, 39-300 Mielec, powiat: mielecki, woj: podkarpackie"; "Umowa o pracę na okres próbny"; "Diana Małgorzata Buczek-Cebula"; 20.12.2021; 
"Pomocniczy robotnik budowlany"; "Mielec, powiat: mielecki, woj: podkarpackie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 20.12.2021; 
"Operator wykrawarki laserowej"; "39-332 Tuszów Narodowy 388, powiat: mielecki, woj: podkarpackie"; "Umowa o pracę na czas określony"; "Zakład Metalowy Mirosław Głowa"; 20.12.2021; 
"operator produkcji"; "Ceramiki 37, 41-945 Piekary Śląskie, powiat: m. Piekary Śląskie, woj: śląskie"; "Umowa o pracę na czas określony"; "NOMAX TRADING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 20.12.2021; 
"Pracownik biurowy"; "Majewskich 22, 80-457 Gdańsk, powiat: m. Gdańsk, woj: pomorskie"; "Umowa o pracę na czas nieokreślony"; "PAWEŁ DOBSKI ""SERVMED"", "" DOMET DOBSKI & DOBSKI"""; 20.12.2021; 
"Monter wod-kan"; "Ozimska 17, 46-053 Chrząstowice, powiat: opolski, woj: opolskie"; "Umowa o pracę na czas nieokreślony"; "Plada Sp. z o.o."; 20.12.2021; 
"pomocnik budowlany"; "Zabrze, powiat: m. Zabrze, woj: śląskie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; 17.12.2021; 
"Spawacz"; "Gierymskiego 8, 42-580 Wojkowice, powiat: będziński, woj: śląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "BORONOWSKI JAN ImperialNet"; 20.12.2021; 
"Technik mechanik obróbki skrawaniem"; "72-015 Tatynia 1b, powiat: policki, woj: zachodniopomorskie"; "Umowa o pracę na okres próbny"; "ZAKŁAD PRODUKCYJNO - USŁUGOWY ''REDA"" Reda Sylwester"; 17.12.2021; 
"cieśla szalunkowy"; "Zabrze, powiat: m. Zabrze, woj: śląskie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; 17.12.2021; 
"dekarz"; "Zabrze, powiat: m. Zabrze, woj: śląskie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; 17.12.2021; 
"murarz-tynkarz"; "Zabrze, powiat: m. Zabrze, woj: śląskie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; 17.12.2021; 
"PRACOWNIK TECHNICZNY - 1137"; "Szarych Szeregów, 58-100 Świdnica, powiat: świdnicki, woj: dolnośląskie"; "Umowa o pracę na okres próbny"; "HOUGHTON POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 20.12.2021; 
"Wychowawca "; "Słoneczna 50, 66-200 Świebodzin, powiat: świebodziński, woj: lubuskie"; "Umowa o pracę na czas określony"; "DOM DZIECKA NR 2"; 20.12.2021; 
"Sprzątaczka"; "Szkolne 14, 66-218 Lubrza, powiat: świebodziński, woj: lubuskie"; "Umowa o pracę na okres próbny"; "Publiczna Szkoła Podstawowa im. Arkadego Fiedlera w Lubrzy"; 20.12.2021; 
"Z-ca Dyrektora ds. Technicznych, Inwestycyjnych i GZM"; "Klimasa 33/35, 50-515 Wrocław, powiat: m. Wrocław, woj: dolnośląskie"; "Umowa o pracę na okres próbny"; "Spółdzielnia Mieszkaniowa ENERGOPREM"; 20.12.2021; 
"Pracownik gospodarczy"; "Lipowa 67, 97-400 Bełchatów, powiat: bełchatowski, woj: łódzkie"; "Umowa o pracę na okres próbny"; "STALMIT MURZYŁA M. SPÓŁKA JAWNA"; 20.12.2021; 
